url,title,date,class,venue
https://vault.racerxonline.com/1992-03-14/250sx/memorial-stadium,Charlotte - 250SX,"March 14, 1992",250sx,Memorial Stadium
https://vault.racerxonline.com/1992-03-21/125esx/rca-dome,Indianapolis - 125ESX,"March 21, 1992",125esx,Rca Dome
https://vault.racerxonline.com/1992-03-21/250sx/rca-dome,Indianapolis - 250SX,"March 21, 1992",250sx,Rca Dome
https://vault.racerxonline.com/1992-03-28/125esx/tampa-stadium,Tampa - 125ESX,"March 28, 1992",125esx,Tampa Stadium
https://vault.racerxonline.com/1992-03-28/250sx/tampa-stadium,Tampa - 250SX,"March 28, 1992",250sx,Tampa Stadium
https://vault.racerxonline.com/1992-04-11/125esx/silverdome,Pontiac 1 - 125ESX,"April 11, 1992",125esx,Silverdome
https://vault.racerxonline.com/1992-04-11/250sx/silverdome,Pontiac 1 - 250SX,"April 11, 1992",250sx,Silverdome
https://vault.racerxonline.com/1992-04-12/125esx/silverdome,Pontiac 2 - 125ESX,"April 12, 1992",125esx,Silverdome
https://vault.racerxonline.com/1992-04-12/250sx/silverdome,Pontiac 2 - 250SX,"April 12, 1992",250sx,Silverdome
https://vault.racerxonline.com/1992-04-25/125esx/sam-boyd-stadium,Las Vegas - 125ESX,"April 25, 1992",125esx,Sam Boyd Stadium
https://vault.racerxonline.com/1992-04-25/125wsx/sam-boyd-stadium,Las Vegas - 125WSX,"April 25, 1992",125wsx,Sam Boyd Stadium
https://vault.racerxonline.com/1992-04-25/250sx/sam-boyd-stadium,Las Vegas - 250SX,"April 25, 1992",250sx,Sam Boyd Stadium
https://vault.racerxonline.com/1992-05-17/125mx/moto-x-338,Moto-X 338 - 125MX,"May 17, 1992",125mx,Moto X 338
https://vault.racerxonline.com/1992-05-17/250mx/moto-x-338,Moto-X 338 - 250MX,"May 17, 1992",250mx,Moto X 338
https://vault.racerxonline.com/1992-05-24/125mx/high-point-raceway,High Point Raceway - 125MX,"May 24, 1992",125mx,High Point Raceway
https://vault.racerxonline.com/1992-05-24/250mx/high-point-raceway,High Point Raceway - 250MX,"May 24, 1992",250mx,High Point Raceway
https://vault.racerxonline.com/1992-05-30/125esx/texas-stadium,Irving - 125ESX,"May 30, 1992",125esx,Texas Stadium
https://vault.racerxonline.com/1992-05-30/125wsx/texas-stadium,Irving - 125WSX,"May 30, 1992",125wsx,Texas Stadium
https://vault.racerxonline.com/1992-05-30/250sx/texas-stadium,Irving - 250SX,"May 30, 1992",250sx,Texas Stadium
https://vault.racerxonline.com/1992-06-06/125wsx/spartan-stadium,San Jose - 125WSX,"June 6, 1992",125wsx,Spartan Stadium
https://vault.racerxonline.com/1992-06-06/250sx/spartan-stadium,San Jose - 250SX,"June 6, 1992",250sx,Spartan Stadium
https://vault.racerxonline.com/1992-06-14/125mx/hangtown-motocross-classic,Hangtown Motocross Classic - 125MX,"June 14, 1992",125mx,Hangtown Motocross Classic
